Country,year,avg_temp_mean_f,avg_temp_max_f,avg_temp_min_f,total_precip_mm,avg_sunshine_hrs,total_radiation_mj
Algeria,2008,75.997536,87.82573,62.696796,31.300001,4002.581,8112.18
Algeria,2009,76.02687,88.02379,62.647243,36.1,3953.5955,8025.66
Algeria,2010,79.05418,91.041374,65.57706,7.9000006,3962.0923,7985.01
Algeria,2011,76.09874,88.05979,62.590034,22.899998,3950.213,8080.47
Algeria,2012,76.0996,88.097946,62.514584,9.2,3988.7388,8090.8506
Algeria,2013,76.65495,88.75044,62.808502,12.299999,4001.1416,8165.54
Algeria,2014,77.73257,89.68817,63.918343,19.300001,3996.5178,8074.03
Algeria,2015,77.18769,89.166916,63.616776,12.299999,3996.737,8094.25
Algeria,2016,78.23048,90.08966,64.616714,11.4,3974.7505,8053.6504
Algeria,2017,76.94369,88.6979,64.364365,35.4,3859.5684,7704.13
Algeria,2018,77.25161,88.6005,64.91497,28.700003,3718.976,7309.21
Algeria,2019,76.84364,88.49793,64.03766,27.5,3810.359,7534.1
Algeria,2020,78.361595,89.843,66.292015,13.2,3824.0874,7502.0303
Australia,1995,74.28739,75.4594,73.06097,796.60004,3564.5066,6533.05
Australia,1996,74.213326,75.390816,72.96844,1789.2,3406.064,6338.33
Australia,1997,74.35655,75.52795,73.1046,1230.0999,3550.165,6483.52
Australia,1998,76.90667,78.16359,75.45027,1867.0,3433.3025,6334.7197
Australia,1999,75.48245,76.713234,74.11408,1778.6,3327.7244,6039.3203
Australia,2000,74.89625,76.11648,73.5259,1342.0,3336.83,6172.37
Australia,2001,75.54472,76.77044,74.17918,1433.3,3506.5156,6361.65
Australia,2002,74.614685,75.71535,73.43107,1346.6001,3500.021,6447.04
Australia,2003,75.09436,76.321915,73.79131,991.10004,3486.3062,6373.91
Australia,2004,75.33302,76.50722,74.096886,1453.4,3486.6746,6420.29
Australia,2005,74.78868,76.06301,73.47767,1288.2001,3415.476,6260.63
Australia,2006,75.26113,76.504875,73.890434,1017.4,3554.4968,6484.0
